cap-shape;cap-surface;cap-color;bruises?;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;;;;;;;;;;c;;;;;;w;o;;;;;e
;;;f;n;;w;;;;;;;;;;w;;;;;;e
f;;;f;;;w;;;;;;;;;;w;;;;;;e
;;;f;;;w;;;;;;;;;;w;;;w;;;e
;;;f;;;w;;w;;;;;;;;w;;;;;;e
k;;;f;;;w;;;;;;;;;;w;;;;;;e
b;;;f;;;w;;;;;;;;;;w;;;;;;e
;;;;;;w;;;;;;;;;;w;;e;;;;e
;;;;;;;;;;;;;;;;w;;e;;c;;e
;;y;;;;;;;;c;;;;;;w;;;;;;e
b;;;;;;;;;;c;;;;;;w;;;;;;e
;y;;;;;c;;;;b;s;;;;;;o;;;;;e
;;;;n;;c;;;;;s;;;;;;o;;;;;e
b;;;;;;c;;;;;s;;;;;;o;;;;;e
;y;;;;;c;;;;b;;s;;;;;o;;;;;e
;;;;n;;c;;;;;;s;;;;;o;;;;;e
b;;;;;;c;;;;;;s;;;;;o;;;;;e
;y;;;;;c;;;;b;;;w;;;;o;;;;;e
;y;;;;;c;;;;b;;;;w;;;o;;;;;e
;;;;n;;c;;;;;;;;w;;;o;;;;;e
b;;;;;;c;;;;;;;;w;;;o;;;;;e
;y;;;;;c;;;;b;;;;;;;o;p;;;;e
;;;;n;;c;;;;;;;;;;;o;p;;;;e
b;;;;;;c;;;;;;;;;;;o;p;;;;e
;;;;n;;c;;;;b;;;;;;;o;;;;;e
;y;;t;;;c;;;;b;;;;;;;o;;;;;e
;y;;;;;c;;w;;b;;;;;;;o;;;;;e
;;;t;n;;c;;;;;;;;;;;o;;;;;e
b;;;t;;;c;;;;;;;;;;;o;;;;;e
b;;w;;;;c;;;;;;;;;;;o;;;;;e
;;;;;;c;;;;c;;;;;;;o;;;;;e
;;;;;;c;;;;;;;;;;;o;;;c;;e
;;;;;;c;;y;;;;;;;;;o;;;;;e
;;;;;;;b;;e;;s;;;;;;o;;;;;e
;y;;;;;;b;;;;s;;;;;;o;;;;;e
;;;;;;;b;g;;;s;;;;;;o;;;;;e
;;;;;;;b;;e;;;s;;;;;o;;;;;e
;y;;;;;;b;;;;;s;;;;;o;;;;;e
;;;;;;;b;g;;;;s;;;;;o;;;;;e
;;;;;;;b;;e;;;;w;;;;o;;;;;e
;y;;;;;;b;;;;;;w;;;;o;;;;;e
;;;;;;;b;g;;;;;w;;;;o;;;;;e
;;;;;;;b;;e;;;;;w;;;o;;;;;e
;y;;;;;;b;;;;;;;w;;;o;;;;;e
;;;;;;;b;g;;;;;;w;;;o;;;;;e
;;;;;;;b;;e;;;;;;;;o;p;;;;e
;y;;;;;;b;;;;;;;;;;o;p;;;;e
;;;;;;;b;g;;;;;;;;;o;p;;;;e
;;;;n;;;b;;;;;;;;;;o;;;;;e
;;;t;;;;b;;e;;;;;;;;o;;;;;e
;s;;;;;;b;;e;;;;;;;;o;;;;;e
;;;;;;;b;w;e;;;;;;;;o;;;;;e
;;w;;;;;b;;e;;;;;;;;o;;;;;e
;y;;t;;;;b;;;;;;;;;;o;;;;;e
;y;;;;;;b;w;;;;;;;;;o;;;;;e
;y;w;;;;;b;;;;;;;;;;o;;;;;e
;;;;;;;b;w;;;;;;;;;o;;;;d;e
;s;;;;;;b;g;;;;;;;;;o;;;;;e
;;n;;;;;b;;;;;;;;;;o;;;;;e
;;e;;;;;b;;;;;;;;;;o;;;;;e
;;w;;;;;b;g;;;;;;;;;o;;;;;e
;;;;;;;b;;;c;;;;;;;o;;;;;e
b;;;;;;;b;;;;;;;;;;o;;;;;e
;;;;;;;b;;;;;;;;;;o;;;c;;e
;;;;;;;b;;;;;y;;;;;o;;;;;e
;;;;;;;b;y;;;;;;;;;o;;;;;e
;y;;;;;;;;;b;s;;;;;;o;;;v;;e
;;;;n;;;;;;;s;;;;;;o;;;v;;e
;y;;;;;;;g;;;s;;;;;;o;;;;;e
;;;;;;;;g;;;s;;;;;;o;;;;g;e
;y;;;;;;;;;b;;s;;;;;o;;;v;;e
;;;;n;;;;;;;;s;;;;;o;;;v;;e
