cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;s;n;;;f;c;;;;;;;;;;;o;;;;;p
;s;n;;;f;;;;;;;;;;;;o;;;v;;p
;s;n;;;;c;;;;;;;w;;;;o;;;;;p
;s;n;;;;c;;;;;;;;w;;;o;;;;;p
;s;n;;;;c;;;;;;;;;;w;o;;;;;p
;s;n;f;;;;;;;;s;;;;;;;;w;;;p
;s;n;f;;;;;;;;;s;;;;;;;w;;;p
;s;n;;;;;;;;;;;w;;;;o;;;v;;p
;s;n;f;;;;;;;;;;w;;;;;;w;;;p
;s;n;;;;;;;;;;;;w;;;o;;;v;;p
;s;n;;;;;;;;;;;;;;w;o;;;v;;p
;s;;t;;;c;;;;;;;;;;;o;;;v;;p
f;s;;t;;;c;;;;;;;;;;;o;;;;;p
;s;;f;;f;c;;;;;s;;;;;;;;;;;p
;s;;f;;f;c;;;;;;s;;;;;;;;;;p
;s;;f;;f;c;;;;;;;;;;;o;;;;;p
;s;;;;f;c;;;;;;;;;;;o;;;v;;p
f;s;;;;f;c;;;;;;;;;;;o;;;;;p
;s;;f;;;c;;;;;s;;;;;w;;;;;;p
;s;;f;;;c;;;;;;s;;;;w;;;;;;p
;s;;;;;c;;;;;;;w;;;;o;;;v;;p
f;s;;;;;c;;;;;;;w;;;;o;;;;;p
;s;;;;;c;;;;;;;;w;;;o;;;v;;p
f;s;;;;;c;;;;;;;;w;;;o;;;;;p
;s;;f;;;c;;;;;;;;;;w;o;;;;;p
;s;;;;;c;;;;;;;;;;w;o;;;v;;p
f;s;;;;;c;;;;;;;;;;w;o;;;;;p
;y;n;f;;;c;;;;;s;;;;;;;;;;;p
;y;n;f;;;c;;;;;;;w;;;;;;;;;p
;y;n;f;;;c;;;;;;;;;;;o;;;;;p
;y;n;f;;;c;;;;;;;;;;;;;;v;;p
k;;;f;;f;c;;;;;s;;;;;;;;;;;p
k;;;f;;f;c;;;;;;s;;;;;;;;;;p
;;;f;;f;c;b;;;;;;;;;;o;;;;;p
;;;f;;f;;b;;e;;;;;;;;o;;;;;p
;;;;;f;;b;;e;;;;;;;;o;;;v;;p
;;g;;;;c;b;p;e;;;;;;;;;;;;;p
k;;;f;;;c;;;;;s;;;;;w;;;;;;p
k;;;f;;;c;;;;;;s;;;;w;;;;;;p
;;;f;;;c;b;;;;;;;;;w;o;;;;;p
;;;;p;;;;;;;;;;;;;;;;;;p
;;;;f;;;;;;;;;;;;;;;;;;p
;;;;;;;;;;;;;;b;;;;;;;;p
;;;;;;;;;;;;;;;;;;l;;;;p
;;;;;;;;;;;;;b;;;;;;;;;p
;;;;y;;;;;;;;;;;;;;;;;;p
;;;;;;;;b;;;;;;;;;;;;;;p
;;;;s;;;;;;;;;;;;;;;;;;p
;s;;;;;;;;;;;;;;;;;;;;u;p
;s;;;;;;;;;;;;;p;;;;;;;;p
;s;;;;;;;;;;;;p;;;;;;;;;p
;s;;;;;;;;;;;;;;;;;;h;;;p
;;n;;;;;;;;;k;;;;;;;;;;;p
;;n;;;;;;;;;;k;;;;;;;;;;p
;;;t;;;;;;;e;;;;;;;;;;;;p
;;;t;;;;;;;;;;;;;;;;;;u;p
;;;t;;;;;;;;;;;;;;;;h;;;p
;;;;;;c;;;;;k;;;;;;;;;;;p
;;;;;;c;;;;;;k;;;;;;;;;;p
;;;;;;;n;;;;;;;;;;;;;s;;p
;;;;;;;n;;;;;;;;;;;;;;p;p
;;;;;;;n;;;;;;;p;;;;;;;;p
;;;;;;;n;;;;;;p;;;;;;;;;p
;;e;;;;;n;;;;;;;;;;;;;;;p
;;;;;;;n;;;;k;;;;;;;;;;;p
;;;;;;;n;;;;;k;;;;;;;;;;p
;;;;;;;;;e;;;;;p;;;;;;;;p
;;;;;;;;;e;;;;p;;;;;;;;;p
;;;;;;;;;;;;;;w;;;;;;;l;p
;;;;;;;;;;;k;;;;;;o;;;;;p
;;;;;;;;;;;;k;;;;;o;;;;;p
;;;;;;;;;;;;;n;;;;o;;;;;p
;;;;;;;;;;;;;;;;;;p;h;;;p
;;;;;;;;;;b;;;;;;;;;;s;;p
;;y;f;;;;;;;;;;;;;;;;;;;p
;;y;;;;;;h;;;;;;;;;;;;;;p
;;y;;;;;;;;;;;;p;;;;;;;;p
;;y;;;;;;;;;;;p;;;;;;;;;p
;;y;;;;;;;;;k;;;;;;;;;;;p
;;y;;;;;;;;;;k;;;;;;;;;;p
;;y;;;;;;;;;;;n;;;;;;;;;p
;;y;;;;;;;;;;;;;;;;;h;;;p
;;y;;;;;;;;;;;;n;;;;;;;;p
;;;;;;;b;;;;;;;;;;;;h;;;p
;;;;;;;;;;;;;;;;;;;;v;g;p
;;;;;;;;;;b;;;;;;;;;;;g;p
;;;;;;;;;;;;;;;;;;;h;;g;p
;y;;;;;;;;;;k;;;;;;;;;;;p
;y;;;;;;;;;;;k;;;;;;;;;;p
;;g;;;;;;;;;;;n;;;;;;;;;p
;;g;;;;;;;;;;;;;;;;;h;;;p
;;g;;;;;;;;;;;;n;;;;;;;;p
;;;f;;;;;;;;;;;p;;;;;;;;p
;;;f;;;;;;;;;;p;;;;;;;;;p
;;e;f;;;;;;;;;;;;;;;;;;;p
;;;;;;;;;t;;;;;;;;;;;;p;p
;;;;;;;;;t;;k;;;;;;;;;;;p
;;;;;;;;;t;;;k;;;;;;;;;;p
;;;;;;;;;t;;;;;;;;;;h;;;p
;;;;;;;;;t;;;;;;;;;;w;;;p
;;;;;;;;;t;;;;;;;;;;;;l;p
k;;;;;;;;;t;;;;;;;;;;;;;p
;;;;;;;;;;;;;;;;;;e;;;d;p
;;;;;;;;;;;;;;;;;;e;;;p;p
;;;;;;;;;;;;;;p;;;;e;;;;p
;;;;;;;;;;;;;p;;;;;e;;;;p
;;;;;;;;;;;k;;;;;;;e;;;;p
;;;;;;;;;;;;k;;;;;;e;;;;p
;;;;;;;;g;;b;;;;;;;;;;;;p
;;;;;;;;g;;;;;;;;;;;h;;;p
;;;;;;;;;;;k;;;;;;;;;v;;p
;;;;;;;;;;;;k;;;;;;;;v;;p
;;;;;;;;;;;;;n;;;;;;;v;;p
;f;;;;;;;;;;;;;;;;;;;;p;p
;f;;;;;;;;;;;;n;;;;;;;;;p
;f;;;;;;;;;;;;;;;;;;h;;;p
;;;;;;;;;;;k;;;;;;;;;y;;p
;;;;;;;;;;;;k;;;;;;;;y;;p
f;;;;;;;;;;;k;;;;;;;;;;;p
f;;;;;;;;;;;;k;;;;;;;;;;p
;;;;;;;;h;;b;;;;;;;;;;;;p
;;;;;;;;;;b;k;;;;;;;;;;;p
;;;;;;;;;;b;;k;;;;;;;;;;p
;;;;;;;;;;b;;;;;;;;;h;;;p
;;;;;;;;;;;k;;;;;;;;;;d;p
;;;;;;;;;;;;k;;;;;;;;;d;p
;;;;;;;;;;;;;;p;;;;;;;p;p
;;;;;;;;;;;;;p;;;;;;;;p;p
;;e;;;;;;;;;;;;;;;;;;;p;p
;;;;;;;;;;;k;;;;;;;;;;p;p
;;;;;;;;;;;;k;;;;;;;;;p;p
;;;;;;;;;;;;;;;;;;;h;;p;p
;;;;;;;;h;;;k;;;;;;;;;;;p
;;;;;;;;h;;;;k;;;;;;;;;;p
;;;;;;;;;;;k;;;p;;;;;;;;p
;;;;;;;;;;;;k;;p;;;;;;;;p
;;;;;;;;;;;;;;p;;;;;h;;;p
;;;;;;;;;;;;;;p;;;;;w;;;p
;;;;;;;;;;;;;;p;;;;;;;l;p
k;;;;;;;;;;;;;;p;;;;;;;;p
;;;;;;;;;;;k;;p;;;;;;;;;p
;;;;;;;;;;;;k;p;;;;;;;;;p
;;;;;;;;;;;;;p;;;;;;h;;;p
;;;;;;;;;;;;;p;;;;;;w;;;p
;;;;;;;;;;;;;p;;;;;;;;l;p
k;;;;;;;;;;;;;p;;;;;;;;;p
;;e;;;;;;;;;k;;;;;;;;;;;p
;;e;;;;;;;;;;k;;;;;;;;;;p
;;e;;;;;;;;;;;;;;;;;;;l;p
;;;;;;;;;;;k;;n;;;;;;;;;p
;;;;;;;;;;;k;;;;;;;;h;;;p
;;;;;;;;;;;k;;;n;;;;;;;;p
;;;;;;;;;;;k;;;;;;;;;;l;p
;;;;;;;;;;;;k;n;;;;;;;;;p
;;;;;;;;;;;;k;;;;;;;h;;;p
;;;;;;;;;;;;k;;n;;;;;;;;p
;;;;;;;;;;;;k;;;;;;;;;l;p
;;;;;;;;;;;;;n;;;;;;h;;;p
;;;;;;;;;;;;;;n;;;;;h;;;p
;s;n;;;;;n;;;;;;;;;;;;;;;p
;s;;;;;c;n;;;;;;;;;;;;;;;p
;s;;;;;c;;;t;;;;;;;;;;;;;p
;s;;;;;;n;;e;;;;;;;;;;;;;p
;s;;f;;;;n;;;;;;;;;;;;;;;p
;s;;;;;;n;;;;;;;;;;;e;;;;p
;s;;;;;;n;;;;;;;;;;;;w;;;p
k;s;;;;;;n;;;;;;;;;;;;;;;p
;s;;;;;;;;;;;;;;;w;;;;;l;p
;s;;;;;;;;;;;;;;;;o;;;;p;p
;s;e;;;;;;;;;;;;;;;o;;;;;p
;s;;;;;;;;;;;;;;;;o;;w;;;p
;s;e;;;;;;;t;;;;;;;;;;;;;p
;s;;;;;;;;;;;;;;;;;e;;v;;p
;s;;;;;;;;;;;;;;;;;e;;;l;p
;s;e;;;;;;;;;;;;;;;;;;v;;p
;;n;;;;;n;;t;;;;;;;;;;;;;p
;;n;;;;;n;;;;;;;;;;;;;;d;p
;;;t;;;c;n;;;;;;;;;;;;;;;p
;;;t;;;;n;;e;;;;;;;;;;;;;p
;;;;;f;c;;;;;;;;;;;;;;;l;p
;;;;;;c;n;;t;;;;;;;;;;;;;p
;;;;;;c;n;;;;;;;;;;;e;;;;p
;;;;;;c;n;;;;;;;;;;;;w;;;p
;;;;;;c;n;;;;;;;;;;;;;;l;p
k;;;;;;c;n;;;;;;;;;;;;;;;p
;;;;;;c;;;;;;;w;;;;;;;;l;p
;;;;;;c;;;;;;;;;;w;;;;;l;p
;;;;;;c;;;;;;;;;;;o;e;;;;p
;;;;;;c;;;;;;;;n;;;o;;;;;p
;;;;;;c;;;;;;;;;;;o;;w;;;p
;;y;;;;c;;;;;;;;;;;;;;v;;p
;f;y;;;;c;;;;;;;;;;;;;;;;p
;;y;;;;c;;;;b;;;;;;;;;;;;p
;;y;;;;c;;;;;;;;;;;;;;;d;p
;;;;;;c;b;h;;;;;;;;;;;;;;p
;;g;;;;c;;;;;;;;;;;;;;;g;p
